anio,trimestre,accesos_cada_100_hogares,accesos_cada_100_habitantes
2014,1,49.55,15.05
2014,2,49.86,15.16
2014,3,50.67,15.43
2014,4,50.5,15.39
2015,1,51.36,15.68
2015,2,51.76,15.82
2015,3,52.46,16.05
2015,4,52.63,16.12
2016,1,51.85,15.9
2016,2,53.34,16.37
2016,3,53.73,16.5
2016,4,53.94,16.56
2017,1,54.16,16.64
2017,2,54.9,16.88
2017,3,56.9,17.51
2017,4,57.78,17.79
2018,1,58.82,18.12
2018,2,59.16,18.24
2018,3,60.69,18.73
2018,4,61.42,18.97
2019,1,62.48,19.31
2019,2,64.53,19.96
2019,3,65.79,20.36
2019,4,62.92,19.49
2020,1,62.86,19.48
2020,2,64.21,19.92
2020,3,66.31,20.59
2020,4,67.62,21.01
2021,1,67.95,21.13
2021,2,69.24,21.55
2021,3,70.58,21.98
2021,4,73.18,22.81
2022,1,73.88,23.05
2022,2,68.78,23.72
2022,3,69.5,24.14
2022,4,70.11,24.35
2023,1,70.2,24.29
2023,2,70.14,24.31
2023,3,71.07,24.67
2023,4,71.92,24.97
2024,1,72.42,25.09
2024,2,71.91,24.92
2024,3,72.76,25.25
2024,4,74.15,25.74
2025,1,75.15,26.08
2025,2,76.12,26.42
2025,3,77.96,27.06
2025,4,80.64,27.99
