provincia,partido,localidad,link_indec,velocidad,accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3,103
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,12,263
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,14,1
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,15,189
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,100,1515
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,226.5,505
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,12,21
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,226.5,18
BUENOS AIRES,25 de Mayo,Del Valle,6854020,3,181
BUENOS AIRES,25 de Mayo,Del Valle,6854020,226.5,45
BUENOS AIRES,25 de Mayo,Ernestina,6854030,226.5,12
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,6,154
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,8,58
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,10,2
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,12,8
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,226.5,23
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,15,918
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,100,8
BUENOS AIRES,25 de Mayo,Pedernales,6854070,6,2
BUENOS AIRES,25 de Mayo,San Enrique,6854080,12,25
BUENOS AIRES,25 de Mayo,Valdés,6854090,12,64
BUENOS AIRES,25 de Mayo,Valdés,6854090,20,9
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,3,11
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3,213
BUENOS AIRES,9 de Julio,9 de Julio,6588100,15,7426
BUENOS AIRES,9 de Julio,9 de Julio,6588100,20,3041
BUENOS AIRES,9 de Julio,9 de Julio,6588100,100,1396
BUENOS AIRES,9 de Julio,9 de Julio,6588100,200,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,300,1943
BUENOS AIRES,9 de Julio,9 de Julio,6588100,600,2
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1000,16
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3,510
BUENOS AIRES,9 de Julio,Carlos María Naón,6588020,226.5,24
BUENOS AIRES,9 de Julio,Dudignac,6588040,1,8
BUENOS AIRES,9 de Julio,Dudignac,6588040,6,46
BUENOS AIRES,9 de Julio,Dudignac,6588040,10,52
BUENOS AIRES,9 de Julio,La Aurora  (Est. La Niña),6588050,226.5,38
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,2,193
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,226.5,40
BUENOS AIRES,9 de Julio,Morea,6588080,3,130
BUENOS AIRES,9 de Julio,Norumbega,6588090,226.5,12
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,3,42
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,15,89
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,30,21
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,100,1
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,3,772
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,6,4
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,7,276
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,10,114
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,15,207
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0,15
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.5,2
