anio;mes;postales;telegraficas;monetarios
2013;1;553547775.54;9763746.4;17208141.11
2013;2;561958246.69;14019331.25;16349376.05
2013;3;619821977.45;15955698.8;16955235.55
2013;4;663469017.83;17569657.29;17811819.32
2013;5;716939293.93;20241708.01;17727042.7
2013;6;671711365.81;15661627.63;16710126.91
2013;7;788467463.82;18135733.92;17471892.01
2013;8;741939552.27;20859147.89;16841878.76
2013;9;771811845.7;19066343.34;16597733.25
2013;10;832545557.71;20092279.32;17224338.73
2013;11;795302506.01;19443864.59;16689419.92
2013;12;866466313.61;17880143.63;16358976.56
2014;1;796471563.16;11499601.8;17543856.07
2014;2;770983833.51;20133788.15;17049902.13
2014;3;826357385.03;20550616.9;16905017.67
2014;4;917012646.14;21142909.4;16870362.71
2014;5;922535283;20890590.96;17774628.76
2014;6;955097288.51;23273232.7;17697533.13
2014;7;1017169429.89;22391159.33;18237425.57
2014;8;1014263133.34;22241034.88;17622055.26
2014;9;1114528948.15;24523192.98;18984474.23
2014;10;1249039634.42;27072880.17;18823120.79
2014;11;1141946289.76;21931441.9;18160453.89
2014;12;1148409129.2;22999980.05;19802315.38
2015;1;1051783054.99;14712090.34;19061959.23
2015;2;1056469664.32;18684228.23;17689978.59
2015;3;1184241988.32;26665687.87;19052803.36
2015;4;1319354311.13;28217915.28;18354421.85
2015;5;1300384452.29;23737569.21;19759072.8
2015;6;1392982982.65;30278680.97;20610369.57
2015;7;1364073818.36;22990329.27;22906732.59
2015;8;1362038999.29;29800362.78;20789786.18
2015;9;1579453863.99;31433850.84;21838578.1
2015;10;1488197305.85;28573754.52;21201272.34
2015;11;1543288516.99;29774215.79;20762732.63
2015;12;1458099069.21;26891748.85;21322673.25
2016;1;1247603392.24;23271760.94;23135974.56
2016;2;1350409090.5;30270966.14;20419727.28
2016;3;1583040298.98;37589233.9;21464562.51
2016;4;1531394773.01;37451954.52;20437783.25
2016;5;1631127216.61;36759693.48;21795132.58
2016;6;1640154089.61;38669099.15;27333732.11
2016;7;1599379507.89;32351823.18;24821598.04
2016;8;1717756303.7;43558916.63;26309008.68
2016;9;1754109432.89;48394244.52;26210089.35
2016;10;1772925482.26;47626951.89;25553940.95
2016;11;1984018854.2;49672932.73;26313464.7
2016;12;1969729652.47;49821428.32;26635240.43
2017;1;1931875896.29;34091082.87;27973500.81
2017;2;1689880762.85;46460751.59;23940121.39
2017;3;1997844849.9;58612275.37;52554487.02
2017;4;1996589777.06;50168787.97;48978354.18
2017;5;2091316754.01;53982993.27;51522482.97
2017;6;2059552179.13;52950160.88;53621395.44
2017;7;2052056344.59;56942799.72;51846188.59
2017;8;2286482113.54;71751541.09;54326332.5
2017;9;2087222561.37;54432794.43;53887666.13
2017;10;2243886661.28;59205134.34;53900582.64
2017;11;2260344455.15;61588273.41;53420646.19
2017;12;2118215124.44;54792584.41;51905604.63
2018;1;2338235881.99;45419716.6;58061862.4
2018;2;2252073480.34;53240724.08;54715803.46
2018;3;2285405601.18;65122103.35;49948608.57
2018;4;2396866358.7;79004014.92;57797894.33
2018;5;2453583208.86;62330627.36;56677829.43
2018;6;2283461386.65;60936805.51;49164427.62
2018;7;2696935983.17;59021562.63;50646497.81
2018;8;2731447104.74;79387123.74;52901245.73
