anio,trimestre,provincia,pesos,unidades
2015,1,Buenos Aires,376605894.86,51464003
2015,1,CABA y GBA,2174477459.56,191152360
2015,1,Catamarca,7478130.07,520236
2015,1,Chaco,27613712.57,4063520
2015,1,Chubut,32702862.03,1546827
2015,1,Córdoba,184649978.82,20430328
2015,1,Corrientes,14841276.28,1171322
2015,1,Entre Ríos,37018023.65,2965853
2015,1,Formosa,6555030.96,517983
2015,1,Jujuy,8683580.79,1127499
2015,1,La Pampa,13090590.43,2834481
2015,1,La Rioja,7676209.64,548841
2015,1,Mendoza,55329240.61,6299106
2015,1,Misiones,15166121.97,610598
2015,1,Neuquén,33595039.48,2335925
2015,1,Río Negro,28160832.9,1537754
2015,1,Salta,16411385.46,803497
2015,1,San Juan,15129609.54,1701342
2015,1,San Luis,11556496.37,710295
2015,1,Santa Cruz,15979319.2,682877
2015,1,Santa Fe,147309250.95,11512569
2015,1,Santiago del Estero,15440105.3,2247361
2015,1,Tierra del Fuego,8368518.39,474633
2015,1,Tucumán,38286545.34,4668500
2015,2,Buenos Aires,415375933.63,46227320
2015,2,CABA y GBA,2701584414.8,199480284
2015,2,Catamarca,10422221.37,587103
2015,2,Chaco,35740608.6,4170410
2015,2,Chubut,40497782.17,1751184
2015,2,Córdoba,208171942.53,19728662
2015,2,Corrientes,18718541.24,1184922
2015,2,Entre Ríos,43966769.04,3054924
2015,2,Formosa,9204378.26,452947
2015,2,Jujuy,11382527.02,1104734
2015,2,La Pampa,14678261.27,3081840
2015,2,La Rioja,9022169.65,387865
2015,2,Mendoza,67648089.27,6299728
2015,2,Misiones,21155271.03,642512
2015,2,Neuquén,46619310.06,2436948
2015,2,Río Negro,33860139.53,1587119
2015,2,Salta,21840109,846664
2015,2,San Juan,15818401.4,994649
2015,2,San Luis,12029519.31,535810
2015,2,Santa Cruz,22517583.23,672626
2015,2,Santa Fe,175727347.88,10059956
2015,2,Santiago del Estero,19424093.96,2592871
2015,2,Tierra del Fuego,10419924.46,531834
2015,2,Tucumán,46896407.91,4420194
2015,3,Buenos Aires,449708488.81,46660151
2015,3,CABA y GBA,2858962469.18,183702925
2015,3,Catamarca,11180018.61,573161
2015,3,Chaco,37518876.59,4082381
2015,3,Chubut,44280755.44,2607266
2015,3,Córdoba,230030456.89,20875717
2015,3,Corrientes,19979796.02,1361905
2015,3,Entre Ríos,48060193.62,2960788
2015,3,Formosa,15050176.03,853686
2015,3,Jujuy,13710037.34,1347422
2015,3,La Pampa,17923803.61,3053483
2015,3,La Rioja,9411637.01,891311
2015,3,Mendoza,71844254.85,6008850
2015,3,Misiones,22955416.12,796960
2015,3,Neuquén,49219627.12,2402230
2015,3,Río Negro,38296125.9,2223073
2015,3,Salta,23795720.49,1814355
2015,3,San Juan,19461150.79,1420659
2015,3,San Luis,13751392.71,736057
2015,3,Santa Cruz,25781229.12,886754
2015,3,Santa Fe,195740360.1,10033090
2015,3,Santiago del Estero,27927057.7,3019284
2015,3,Tierra del Fuego,11278764.35,615496
2015,3,Tucumán,49698873.44,5171349
2015,4,Buenos Aires,455061299.48,42879104
2015,4,CABA y GBA,3013617438.52,174242649
2015,4,Catamarca,11049798.12,570925
2015,4,Chaco,42615380.28,4545267
2015,4,Chubut,49416325.84,2310184
2015,4,Córdoba,218665720.44,18688107
2015,4,Corrientes,21640600.07,1329409
2015,4,Entre Ríos,53262574.21,3291962
2015,4,Formosa,8963514.54,435277
2015,4,Jujuy,11704512.27,1337237
2015,4,La Pampa,18595973.65,3101535
2015,4,La Rioja,9293308.02,412495
2015,4,Mendoza,75368672.02,6581656
2015,4,Misiones,26651723.51,892104
2015,4,Neuquén,50308261.85,2628365
2015,4,Río Negro,35946096.32,1608786
2015,4,Salta,30795877.5,1597561
2015,4,San Juan,20653922.11,1149351
2015,4,San Luis,13059213.84,903800
2015,4,Santa Cruz,26232254.48,914800
2015,4,Santa Fe,212550365.28,11723972
2015,4,Santiago del Estero,21206292.68,2755939
2015,4,Tierra del Fuego,11295445.3,500662
2015,4,Tucumán,51630322.14,5542456
2016,1,Buenos Aires,559529145.8,58433871
2016,1,CABA y GBA,2618265637.7,162510798
2016,1,Catamarca,11201194.76,571776
2016,1,Chaco,36510342.41,3655979
2016,1,Chubut,43886247.81,1937417
2016,1,Córdoba,244940504.6,20293917
2016,1,Corrientes,19597084.89,1345857
2016,1,Entre Ríos,50217919.6,3114431
2016,1,Formosa,15044748.53,701718
2016,1,Jujuy,11506326.99,1694033
2016,1,La Pampa,18398763.82,2706151
2016,1,La Rioja,11298504.12,590953
2016,1,Mendoza,87840011.94,7338427
2016,1,Misiones,22152677.47,2476215
2016,1,Neuquén,43052101.72,2598461
2016,1,Río Negro,31612871.14,1628255
2016,1,Salta,21684015.04,2039304
2016,1,San Juan,18313528.39,1390042
2016,1,San Luis,15286773.96,1018631
2016,1,Santa Cruz,19704359.32,628793
2016,1,Santa Fe,201108100.16,12354263
2016,1,Santiago del Estero,17984134.53,2332327
2016,1,Tierra del Fuego,13232275.44,608131
2016,1,Tucumán,48685511.19,5434454
2016,2,Buenos Aires,522982309.44,56327508
2016,2,CABA y GBA,3131129287.42,186742815
2016,2,Catamarca,11653463.94,577008
2016,2,Chaco,43659020.39,4036761
2016,2,Chubut,47993987.47,2079627
2016,2,Córdoba,276556857.88,19276170
2016,2,Corrientes,27697939.86,1537272
2016,2,Entre Ríos,59848706.07,3454823
2016,2,Formosa,14132555.84,969308
2016,2,Jujuy,15756074.81,1306378
2016,2,La Pampa,19409187.35,2683193
2016,2,La Rioja,10604940.03,466339
2016,2,Mendoza,82694423.64,5965326
2016,2,Misiones,27107811.16,781492
2016,2,Neuquén,45934361.39,2674472
2016,2,Río Negro,32028474.34,1737031
2016,2,Salta,30024508.39,1391059
2016,2,San Juan,22005304.86,1377513
2016,2,San Luis,14692403.45,999065
2016,2,Santa Cruz,21391828.71,585415
2016,2,Santa Fe,253955774.49,12231572
2016,2,Santiago del Estero,23379167.78,3125040
2016,2,Tierra del Fuego,13821631.7,586117
2016,2,Tucumán,54216058.9,4924069
2016,3,Buenos Aires,667826254.5,56316752
2016,3,CABA y GBA,3183055371.08,170794423
2016,3,Catamarca,14140687.55,594587
2016,3,Chaco,48658808.52,3999391
2016,3,Chubut,49256957.03,1780453
2016,3,Córdoba,280542782.79,16284111
2016,3,Corrientes,29312264.1,1394564
2016,3,Entre Ríos,58908212.18,3160613
2016,3,Formosa,17762654.66,1213420
