anio;mes;total
2012;3;153
2012;4;8034
2012;5;34635
2012;6;30824
2012;7;33805
2012;8;33518
2012;9;33392
2012;10;35617
2012;11;30439
2012;12;26797
2013;1;27555
2013;2;20329
2013;3;24265
2013;4;27522
2013;5;28883
2013;6;22065
2013;7;27105
2013;8;28542
2013;9;33683
2013;10;34563
2013;11;33236
2013;12;33293
2014;1;30223
2014;2;33185
2014;3;41372
2014;4;48043
2014;5;58527
2014;6;74669
2014;7;85713
2014;8;80264
2014;9;88994
2014;10;97254
2014;11;74132
2014;12;90113
2015;1;84687
2015;2;73881
2015;3;84411
2015;4;103422
2015;5;100936
2015;6;127486
2015;7;122893
2015;8;106316
2015;9;124779
2015;10;128001
2015;11;117154
2015;12;117140
2016;1;102891
2016;2;107273
2016;3;128411
2016;4;143274
2016;5;148327
2016;6;154196
2016;7;154234
2016;8;180968
2016;9;177072
2016;10;178771
2016;11;173043
2016;12;139777
2017;1;117961
2017;2;97738
2017;3;125312
2017;4;100241
2017;5;110304
2017;6;104675
2017;7;110699
2017;8;114627
2017;9;104109
2017;10;110786
2017;11;113740
2017;12;102618
2018;1;106092
2018;2;90816
2018;3;114126
2018;4;113636
2018;5;130154
2018;6;120758
2018;7;126630
2018;8;145810
2018;9;150804
2018;10;168454
2018;11;171576
2018;12;166967
2019;1;199162
2019;2;209804
2019;3;215122
2019;4;265510
2019;5;323284
2019;6;277982
2019;7;317210
2019;8;317520
2019;9;314891
2019;10;331010
2019;11;309564
2019;12;315457
2020;1;319361
2020;2;310721
2020;3;259945
2020;4;131172
2020;5;185916
2020;6;249606
2020;7;253559
2020;8;295865
2020;9;296507
2020;10;241917
2020;11;235563
2020;12;201390
2021;1;170234
2021;2;176728
2021;3;227134
2021;4;232382
2021;5;189244
2021;6;206029
2021;7;236738
2021;8;252698
2021;9;282261
2021;10;264039
2021;11;312348
2021;12;294356
2022;1;258813
2022;2;265379
2022;3;340566
2022;4;317497
2022;5;318805
2022;6;313772
2022;7;298071
2022;8;317256
2022;9;310435
2022;10;298154
2022;11;299611
2022;12;269979
2023;1;265548
2023;2;208181
2023;3;253637
2023;4;195254
2023;5;190134
2023;6;172718
2023;7;156958
2023;8;163571
2023;9;157032
2023;10;140945
2023;11;139067
2023;12;131142
2024;1;160634
2024;2;145787
2024;3;149604
2024;4;155812
2024;5;178256
2024;6;178024
2024;7;266723
2024;8;263722
2024;9;248324
2024;10;258940
2024;11;223065
2024;12;278641
2025;1;191649
2025;2;168572
2025;3;154647
2025;4;173508
2025;5;163097
2025;6;161460
2025;7;165189
2025;8;168957
2025;9;182735
