anio,trimestre,provincia,hogres,comercial,gobierno,otros,total
2014,1,Buenos Aires,3622153,488810,14179,260266,4385408
2014,1,Capital Federal,1325588,178888,5189,95249,1604914
2014,1,Catamarca,32476,4382,127,2333,39318
2014,1,Chaco,84607,11418,331,6079,102435
2014,1,Chubut,80618,10880,316,5793,97607
2014,1,Córdoba,612460,82651,2397,44007,741515
2014,1,Corrientes,84748,11437,332,6090,102607
2014,1,Entre Ríos,184607,24913,723,13265,223508
2014,1,Formosa,34856,4704,136,2505,42201
2014,1,Jujuy,46214,6237,181,3321,55953
2014,1,La Pampa,59500,8030,233,4275,72038
2014,1,La Rioja,32728,4417,128,2352,39625
2014,1,Mendoza,264647,35714,1036,19016,320413
2014,1,Misiones,91696,12374,359,6589,111018
2014,1,Neuquén,76593,10336,300,5503,92732
2014,1,Río Negro,100180,13519,392,7198,121289
2014,1,Salta,116328,15699,455,8359,140841
2014,1,San Juan,76369,10306,299,5487,92461
2014,1,San Luis,42205,5695,165,3032,51097
2014,1,Santa Cruz,33555,4528,131,2411,40625
2014,1,Santa Fe,636284,85867,2491,45719,770361
2014,1,Santiago del Estero,58409,7882,229,4197,70717
2014,1,Tierra del Fuego,26951,3637,106,1937,32631
2014,1,Tucumán,174209,23509,682,12517,210917
2014,2,Buenos Aires,3610509,492119,14373,262381,4379382
2014,2,Capital Federal,1321143,180074,5259,96009,1602485
2014,2,Catamarca,32442,4422,129,2358,39351
2014,2,Chaco,84347,11497,336,6130,102310
2014,2,Chubut,80467,10968,320,5848,97603
2014,2,Córdoba,607696,82830,2419,44162,737107
2014,2,Corrientes,84609,11533,337,6149,102628
2014,2,Entre Ríos,184487,25146,734,13407,223774
2014,2,Formosa,34829,4747,139,2531,42246
2014,2,Jujuy,46323,6314,184,3366,56187
2014,2,La Pampa,60049,8185,239,4364,72837
2014,2,La Rioja,32543,4436,130,2365,39474
2014,2,Mendoza,264109,35998,1051,19193,320351
2014,2,Misiones,91434,12463,364,6645,110906
2014,2,Neuquén,76501,10427,305,5559,92792
2014,2,Río Negro,99963,13625,398,7264,121250
2014,2,Salta,116346,15858,463,8455,141122
2014,2,San Juan,76210,10388,303,5538,92439
2014,2,San Luis,42123,5741,168,3061,51093
2014,2,Santa Cruz,33577,4577,134,2440,40728
2014,2,Santa Fe,632973,86275,2520,45999,767767
2014,2,Santiago del Estero,58218,7935,232,4231,70616
2014,2,Tierra del Fuego,26902,3667,107,1955,32631
2014,2,Tucumán,174709,23813,695,12696,211913
2014,3,Buenos Aires,3631816,500343,14902,258701,4405762
2014,3,Capital Federal,1324771,182509,5436,94366,1607082
2014,3,Catamarca,32522,4481,133,2317,39453
2014,3,Chaco,87267,12023,358,6216,105864
2014,3,Chubut,80845,11138,332,5759,98074
2014,3,Córdoba,604343,83258,2480,43049,733130
2014,3,Corrientes,86971,11982,357,6195,105505
